Paire,v,vx,vy
2001-2006,1.8139469705266744,-1.5927407333041277,-0.7775395473587179
2001-2013,0.2454987958458901,-0.071469832766231,-0.2341310513094536
2001-2014,0.34951344421644254,-0.2087407494396097,-0.278859649529437
2001-2018,0.7215763759107684,-0.43109985628785014,-0.5733095525702593
2001-2019,0.3551361233580346,-0.1887908137701695,-0.2951534246307573
2001-2021,0.6356292861459502,-0.37162753391693526,-0.5147909440980007
2006-2009,0.5404243549099355,0.4910420153578594,-0.19645992260418485
2006-2013,0.5050782678916701,0.26312439577236624,-0.2427324275906668
2006-2014,0.19539389440585747,-0.014402151274165323,-0.19199417657313111
2006-2018,0.4086385660238199,-0.23360723748907342,-0.3350136710213614
2006-2019,1.048448556824658,1.0345830018759499,0.05425696677349983
2006-2021,0.5549666278414068,-0.2749934046103057,-0.48141195060660474
2009-2001,0.3567917173271937,0.3341756993308499,0.049230209249534355
2009-2006,0.5297308601256769,-0.4801227988103817,0.1974403280048917
2009-2014,0.5283169050942079,-0.42881405411778173,-0.3080974187538163
2009-2018,0.6720466054742018,-0.514264252496947,-0.43238369501810014
2009-2021,0.7790927713930565,-0.5122026868076152,-0.5868238088390832
2013-2001,0.24638596332190577,0.07361023335517207,0.23393120745566323
2013-2006,0.35340539207541005,-0.09625234239464109,0.23111034522575702
2013-2009,0.6658948468926429,0.5349078881715331,0.360414514427212
2013-2017,1.0092866083977512,-0.8676714920612263,-0.4883585411817024
2013-2018,0.8118272077263607,-0.5368755843700933,-0.6081422005844382
2013-2019,1.453451916285074,1.0520698862529227,-0.9368122008658905
2013-2021,0.9514716968201754,-0.5514426997669956,-0.7735649671052631
2014-2001,0.29413896591803806,0.1650248974921265,0.2422137940666031
2014-2006,0.19676852708751308,0.04726990768315487,0.18807436083882154
2014-2009,0.5096277954357118,0.4093769762953594,0.3022233493163381
2014-2018,0.8545261763727756,-0.6517071614129013,-0.552139016022985
2014-2019,1.3757303774315248,1.3339374379852147,0.32598353064484475
2014-2021,0.9584382530366801,-0.5680033862798761,-0.7708862049132066
2017-2001,0.3257274215070002,0.30611007062189244,0.11088897428226405
2017-2006,0.33582701486719296,0.31681386091787334,-0.051811511085654
2017-2009,0.4175361798346999,0.3671571314958784,-0.19467310030312282
2017-2013,1.1976712795176878,1.1624101434286105,-0.2781238068984774
2017-2014,0.4965891442095909,0.2927325102971803,-0.3959760752409717
2017-2018,2.488698486839236,-0.4831233746674372,-2.4400940580294836
2017-2021,1.152387449979283,-0.30855315927850224,-1.1082036190738398
2018-2001,0.6145264495283516,0.570488040403009,0.22703117383471227
2018-2006,0.3891275729321136,0.25149427521752876,0.2957802857041609
2018-2009,0.681959302626701,0.5381564282073229,0.41791959817144975
2018-2013,0.7965887779134683,0.5420343115541042,0.5829403884578899
2018-2014,0.8679645588908758,0.6645646664286026,0.5576790319151256
2018-2017,2.5348938797540126,0.5238699849801552,2.4795572689506282
2018-2021,1.0918381046100838,-0.5404478660099006,-0.9484570244351884
2019-2001,0.5109359837044225,0.26166993891202894,0.4383538107063416
2019-2006,0.1550771040882138,0.008827997797684704,0.13101441088340265
2021-2001,0.48456837027869853,0.29904607119297366,0.38061088993261516
2021-2006,0.5009897661974442,0.29596300783975926,0.4030167126439288
2021-2009,0.7722557264861741,0.5393071517358689,0.5515327107548631
2021-2013,0.9350719678177338,0.5633506588559839,0.7453633725684752
2021-2014,0.9730463979631891,0.5974538500959525,0.7666535254383287
2021-2017,1.1601102500218075,0.3721160143301858,1.0969832873560712
2021-2018,1.0868287069849092,0.5477964477113136,0.938459866211619
